	fitness	number_of_trades	rate_of_return	risk	sharpe_ratio
Run0	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run1	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run2	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run3	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run4	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run5	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run6	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run7	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run8	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run9	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run10	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run11	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run12	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run13	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run14	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run15	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run16	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run17	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run18	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run19	25.324158932837737	50	0.5311133900279988	0.019985397792292466	25.324158932837737	
Run20	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run21	25.324158932837737	50	0.5311133900279988	0.019985397792292466	25.324158932837737	
Run22	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run23	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run24	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run25	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run26	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run27	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run28	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run29	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run30	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run31	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run32	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run33	25.324158932837737	50	0.5311133900279988	0.019985397792292466	25.324158932837737	
Run34	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run35	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run36	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run37	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run38	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run39	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run40	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run41	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run42	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run43	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run44	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run45	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run46	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run47	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run48	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
Run49	24.051984615729776	52	0.5119402306458363	0.02024532438489013	24.051984615729776	
