	fitness	number_of_trades	rate_of_return	risk	sharpe_ratio
Run0	2.5325950425494606	10	0.21404985970709756	0.07464669895143945	2.5325950425494606	
Run1	4.821035613027287	11	0.3370780158260961	0.06473256803637922	4.821035613027287	
Run2	2.5325950425494606	10	0.21404985970709756	0.07464669895143945	2.5325950425494606	
Run3	4.821035613027287	11	0.3370780158260961	0.06473256803637922	4.821035613027287	
Run4	2.7162381660975634	11	0.21588052932186397	0.07027385584383539	2.7162381660975634	
Run5	3.2114618656495475	10	0.26171719864282694	0.0737101072800529	3.2114618656495475	
Run6	2.7162381660975634	11	0.21588052932186397	0.07027385584383539	2.7162381660975634	
Run7	2.5325950425494606	10	0.21404985970709756	0.07464669895143945	2.5325950425494606	
Run8	4.343632778518266	12	0.30381150201013707	0.06418855281436738	4.343632778518266	
Run9	4.821035613027287	11	0.3370780158260961	0.06473256803637922	4.821035613027287	
Run10	2.5325950425494606	10	0.21404985970709756	0.07464669895143945	2.5325950425494606	
Run11	2.5325950425494606	10	0.21404985970709756	0.07464669895143945	2.5325950425494606	
Run12	4.821035613027287	11	0.3370780158260961	0.06473256803637922	4.821035613027287	
Run13	3.4326465014257956	11	0.2635478682575933	0.06949386374580349	3.4326465014257956	
Run14	5.120006877990033	12	0.3389086854408625	0.06131020776364542	5.120006877990033	
Run15	2.5325950425494606	10	0.21404985970709756	0.07464669895143945	2.5325950425494606	
Run16	3.2114618656495475	10	0.26171719864282694	0.0737101072800529	3.2114618656495475	
Run17	4.821035613027287	11	0.3370780158260961	0.06473256803637922	4.821035613027287	
Run18	2.7162381660975634	11	0.21588052932186397	0.07027385584383539	2.7162381660975634	
Run19	2.7162381660975634	11	0.21588052932186397	0.07027385584383539	2.7162381660975634	
Run20	3.552982418675821	12	0.2561441630744077	0.0650563768228704	3.552982418675821	
Run21	4.821035613027287	11	0.3370780158260961	0.06473256803637922	4.821035613027287	
Run22	2.5325950425494606	10	0.21404985970709756	0.07464669895143945	2.5325950425494606	
Run23	4.005644588003947	11	0.28941067689036676	0.06600952008628534	4.005644588003947	
Run24	2.5325950425494606	10	0.21404985970709756	0.07464669895143945	2.5325950425494606	
Run25	5.120006877990033	12	0.3389086854408625	0.06131020776364542	5.120006877990033	
Run26	4.821035613027287	11	0.3370780158260961	0.06473256803637922	4.821035613027287	
Run27	2.7162381660975634	11	0.21588052932186397	0.07027385584383539	2.7162381660975634	
Run28	5.120006877990033	12	0.3389086854408625	0.06131020776364542	5.120006877990033	
Run29	2.5325950425494606	10	0.21404985970709756	0.07464669895143945	2.5325950425494606	
Run30	4.821035613027287	11	0.3370780158260961	0.06473256803637922	4.821035613027287	
Run31	2.7162381660975634	11	0.21588052932186397	0.07027385584383539	2.7162381660975634	
Run32	5.120006877990033	12	0.3389086854408625	0.06131020776364542	5.120006877990033	
Run33	4.005644588003947	11	0.28941067689036676	0.06600952008628534	4.005644588003947	
Run34	3.2114618656495475	10	0.26171719864282694	0.0737101072800529	3.2114618656495475	
Run35	5.120006877990033	12	0.3389086854408625	0.06131020776364542	5.120006877990033	
Run36	2.5325950425494606	10	0.21404985970709756	0.07464669895143945	2.5325950425494606	
Run37	2.7162381660975634	11	0.21588052932186397	0.07027385584383539	2.7162381660975634	
Run38	4.821035613027287	11	0.3370780158260961	0.06473256803637922	4.821035613027287	
Run39	4.2663708388274415	12	0.29124134650513317	0.06240464239116781	4.2663708388274415	
Run40	2.5325950425494606	10	0.21404985970709756	0.07464669895143945	2.5325950425494606	
Run41	2.7162381660975634	11	0.21588052932186397	0.07027385584383539	2.7162381660975634	
Run42	2.5325950425494606	10	0.21404985970709756	0.07464669895143945	2.5325950425494606	
Run43	4.821035613027287	11	0.3370780158260961	0.06473256803637922	4.821035613027287	
Run44	2.5325950425494606	10	0.21404985970709756	0.07464669895143945	2.5325950425494606	
Run45	2.5325950425494606	10	0.21404985970709756	0.07464669895143945	2.5325950425494606	
Run46	2.7162381660975634	11	0.21588052932186397	0.07027385584383539	2.7162381660975634	
Run47	4.821035613027287	11	0.3370780158260961	0.06473256803637922	4.821035613027287	
Run48	3.4326465014257956	11	0.2635478682575933	0.06949386374580349	3.4326465014257956	
Run49	3.4326465014257956	11	0.2635478682575933	0.06949386374580349	3.4326465014257956	
