	fitness	number_of_trades	rate_of_return	risk	sharpe_ratio
Run0	3.3898100136996163	24	0.16438713023087312	0.04111945202461271	3.3898100136996163	
Run1	3.3898100136996163	24	0.16438713023087312	0.04111945202461271	3.3898100136996163	
Run2	3.4356196881218883	23	0.16886955764027886	0.04187586831501901	3.4356196881218883	
Run3	3.3898100136996163	24	0.16438713023087312	0.04111945202461271	3.3898100136996163	
Run4	3.3898100136996163	24	0.16438713023087312	0.04111945202461271	3.3898100136996163	
Run5	3.3898100136996163	24	0.16438713023087312	0.04111945202461271	3.3898100136996163	
Run6	3.4356196881218883	23	0.16886955764027886	0.04187586831501901	3.4356196881218883	
Run7	3.3898100136996163	24	0.16438713023087312	0.04111945202461271	3.3898100136996163	
Run8	3.4356196881218883	23	0.16886955764027886	0.04187586831501901	3.4356196881218883	
Run9	3.3898100136996163	24	0.16438713023087312	0.04111945202461271	3.3898100136996163	
Run10	3.4356196881218883	23	0.16886955764027886	0.04187586831501901	3.4356196881218883	
Run11	3.3898100136996163	24	0.16438713023087312	0.04111945202461271	3.3898100136996163	
Run12	3.3898100136996163	24	0.16438713023087312	0.04111945202461271	3.3898100136996163	
Run13	3.3898100136996163	24	0.16438713023087312	0.04111945202461271	3.3898100136996163	
Run14	3.4356196881218883	23	0.16886955764027886	0.04187586831501901	3.4356196881218883	
Run15	3.4356196881218883	23	0.16886955764027886	0.04187586831501901	3.4356196881218883	
Run16	3.4356196881218883	23	0.16886955764027886	0.04187586831501901	3.4356196881218883	
Run17	3.3898100136996163	24	0.16438713023087312	0.04111945202461271	3.3898100136996163	
Run18	3.3898100136996163	24	0.16438713023087312	0.04111945202461271	3.3898100136996163	
Run19	3.4356196881218883	23	0.16886955764027886	0.04187586831501901	3.4356196881218883	
Run20	3.4356196881218883	23	0.16886955764027886	0.04187586831501901	3.4356196881218883	
Run21	3.3898100136996163	24	0.16438713023087312	0.04111945202461271	3.3898100136996163	
Run22	3.4356196881218883	23	0.16886955764027886	0.04187586831501901	3.4356196881218883	
Run23	3.3898100136996163	24	0.16438713023087312	0.04111945202461271	3.3898100136996163	
Run24	3.3898100136996163	24	0.16438713023087312	0.04111945202461271	3.3898100136996163	
Run25	3.4356196881218883	23	0.16886955764027886	0.04187586831501901	3.4356196881218883	
Run26	3.4356196881218883	23	0.16886955764027886	0.04187586831501901	3.4356196881218883	
Run27	3.4356196881218883	23	0.16886955764027886	0.04187586831501901	3.4356196881218883	
Run28	3.4356196881218883	23	0.16886955764027886	0.04187586831501901	3.4356196881218883	
Run29	3.4356196881218883	23	0.16886955764027886	0.04187586831501901	3.4356196881218883	
Run30	3.3898100136996163	24	0.16438713023087312	0.04111945202461271	3.3898100136996163	
Run31	3.3898100136996163	24	0.16438713023087312	0.04111945202461271	3.3898100136996163	
Run32	3.4356196881218883	23	0.16886955764027886	0.04187586831501901	3.4356196881218883	
Run33	3.3898100136996163	24	0.16438713023087312	0.04111945202461271	3.3898100136996163	
Run34	3.3898100136996163	24	0.16438713023087312	0.04111945202461271	3.3898100136996163	
Run35	3.4356196881218883	23	0.16886955764027886	0.04187586831501901	3.4356196881218883	
Run36	3.4356196881218883	23	0.16886955764027886	0.04187586831501901	3.4356196881218883	
Run37	3.4356196881218883	23	0.16886955764027886	0.04187586831501901	3.4356196881218883	
Run38	3.3898100136996163	24	0.16438713023087312	0.04111945202461271	3.3898100136996163	
Run39	3.4356196881218883	23	0.16886955764027886	0.04187586831501901	3.4356196881218883	
Run40	3.4356196881218883	23	0.16886955764027886	0.04187586831501901	3.4356196881218883	
Run41	3.4356196881218883	23	0.16886955764027886	0.04187586831501901	3.4356196881218883	
Run42	3.4356196881218883	23	0.16886955764027886	0.04187586831501901	3.4356196881218883	
Run43	3.4356196881218883	23	0.16886955764027886	0.04187586831501901	3.4356196881218883	
Run44	3.3898100136996163	24	0.16438713023087312	0.04111945202461271	3.3898100136996163	
Run45	3.3898100136996163	24	0.16438713023087312	0.04111945202461271	3.3898100136996163	
Run46	3.3898100136996163	24	0.16438713023087312	0.04111945202461271	3.3898100136996163	
Run47	3.3898100136996163	24	0.16438713023087312	0.04111945202461271	3.3898100136996163	
Run48	3.4356196881218883	23	0.16886955764027886	0.04187586831501901	3.4356196881218883	
Run49	3.4356196881218883	23	0.16886955764027886	0.04187586831501901	3.4356196881218883	
